dataset,architecture,parallel_strategy,sample_num,gpu_num,epoch_time,loss
CIFAR10,CNN,DDP,128,4,12.118906736373901,1.0734412317063398
CIFAR10,CNN,SAMPLE-PARALLEL,128,4,14.436790347099304,1.1300552377275601
CIFAR10,CNN,DDP,256,4,23.572764545679092,1.0332782644375114
CIFAR10,CNN,SAMPLE-PARALLEL,256,4,25.87517809867859,1.0026678389804378
CIFAR10,CNN,DDP,128,2,24.21407377719879,0.9389835053188785
CIFAR10,CNN,DDP,512,4,46.40152868628502,1.0437321594566296
CIFAR10,CNN,SAMPLE-PARALLEL,512,4,48.45685386657715,1.007474360951952
CIFAR10,CNN,DDP,128,1,47.954939126968384,1.0334471915937533
CIFAR10,CNN,SAMPLE-PARALLEL,128,2,25.804370164871216,1.0158705726550643
CIFAR10,CNN,DDP,256,2,46.954125851392746,0.9473307550333108
CIFAR10,CNN,SAMPLE-PARALLEL,128,1,48.041880041360855,1.0348381886057034
CIFAR10,CNN,SAMPLE-PARALLEL,256,2,48.42588007450104,0.9572425298630052
CIFAR10,CNN,SAMPLE-PARALLEL,1024,4,94.28650730848312,1.042601738765741
CIFAR10,CNN,DDP,256,1,93.88091614842415,0.9549435699821278
CIFAR10,CNN,DDP,512,2,92.5484020113945,0.9340640424163478
CIFAR10,CNN,SAMPLE-PARALLEL,256,1,93.76422461867332,1.0354346549435027
CIFAR10,CNN,SAMPLE-PARALLEL,512,2,94.04249787330627,0.996793590913153
CIFAR10,CNN,DDP,512,1,184.49766346812248,1.0416449794344083
CIFAR10,CNN,SAMPLE-PARALLEL,512,1,184.81337916851044,0.9725749211706174
CIFAR10,CNN,SAMPLE-PARALLEL,1024,2,185.15780228376389,1.006946159396202
CIFAR10,CNN,DDP,128,16,3.0925681591033936,1.364877167021393
CIFAR10,CNN,HYBRID,256,16,6.759007632732391,0.9961994282758919
CIFAR10,CNN,DDP,256,16,5.955993741750717,1.3681423443897514
CIFAR10,CNN,DDP,512,16,11.653472036123276,1.3904407199021358
CIFAR10,CNN,SAMPLE-PARALLEL,128,16,10.969078987836838,1.1066620000608407
CIFAR10,CNN,DDP,128,8,6.076993674039841,1.21001039075244
CIFAR10,CNN,SAMPLE-PARALLEL,256,16,11.574444442987442,1.077578172941876
CIFAR10,CNN,DDP,256,8,11.799556314945221,1.219777021438453
CIFAR10,CNN,SAMPLE-PARALLEL,1024,16,27.019296914339066,1.0120410114336924
CIFAR10,CNN,SAMPLE-PARALLEL,512,16,15.628888070583344,1.0868784193020717
CIFAR10,CNN,HYBRID,256,8,13.05751958489418,0.9403645468365615
CIFAR10,CNN,SAMPLE-PARALLEL,128,8,11.586321324110031,1.1450492906722294
CIFAR10,CNN,SAMPLE-PARALLEL,256,8,14.72478872537613,1.1783340269592917
CIFAR10,CNN,DDP,512,8,23.199627250432968,1.1967413311551331
CIFAR10,CNN,HYBRID,512,8,24.311142206192017,0.9379832592739421
CIFAR10,CNN,SAMPLE-PARALLEL,512,8,26.098329663276672,1.0377857831253368
CIFAR10,CNN,SAMPLE-PARALLEL,1024,8,48.621759593486786,1.0229451629766233
CIFAR10,CNN,SAMPLE-PARALLEL,2048,16,49.569192945957184,1.0605625924031445
CIFAR10,CNN,HYBRID,512,16,12.377387970685959,1.0151084012286677
CIFAR10,CNN,HYBRID,1024,16,23.8185034096241,1.0125703450980459
CIFAR10,CNN,HYBRID,1024,8,47.23136541247368,0.9481326487793285
